folder,image,variant,expected_fruit,expected_ripeness,predicted_fruit,predicted_ripeness,confidence,detected,fruit_correct,ripeness_correct,exact_correct
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,resized_only,Apple,Ripe,Apple,Unripe,0.640051007270813,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,median3_bilateral,Apple,Ripe,Apple,Unripe,0.6098284125328064,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,median5_bilateral,Apple,Ripe,Apple,Unripe,0.6456480622291565,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,median3_clahe,Apple,Ripe,Apple,Unripe,0.6225422620773315,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,median5_clahe,Apple,Ripe,Apple,Unripe,0.6673566699028015,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.9800298810005188,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.9784784317016602,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.9767708778381348,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.9837355613708496,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,median5_clahe,Apple,Ripe,Apple,Overripe,0.9841929078102112,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.9845308065414429,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.9929165840148926,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.992219090461731,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.9934231638908386,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.9937120676040649,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.9945607781410217,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,median3_bilateral,Apple,Ripe,Watermelon,,0.756723940372467,True,False,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,median5_bilateral,Apple,Ripe,Watermelon,,0.6938827633857727,True,False,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.9948732256889343,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.9935716390609741,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,resized_only,Apple,Ripe,Apple,Rotten,0.8105151653289795,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.8587483763694763,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.8608981370925903,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,median3_clahe,Apple,Ripe,Apple,Overripe,0.8799915909767151,True,True,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.8544921278953552,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.8451658487319946,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.852605402469635,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.8532150983810425,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.84530109167099,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.8439965844154358,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,resized_only,Apple,Ripe,Mango,Unripe,0.819084107875824,True,False,False,False
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.8784171342849731,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.8906719088554382,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.8783773183822632,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.8957701325416565,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,resized_only,Apple,Ripe,Apple,Ripe,0.9075391888618469,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,median3_bilateral,Apple,Ripe,Apple,Ripe,0.9154976606369019,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,median5_bilateral,Apple,Ripe,Apple,Ripe,0.9098568558692932,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,median3_clahe,Apple,Ripe,Apple,Ripe,0.9144162535667419,True,True,True,True
Ripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,median5_clahe,Apple,Ripe,Apple,Ripe,0.907558798789978,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.9688193798065186,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.9736596941947937,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.9740608334541321,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.9744511842727661,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.9775525331497192,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.9005106687545776,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.9070454239845276,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.9048938155174255,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.9284890294075012,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,median5_clahe,Apple,Unripe,Orange,Unripe,0.4538910388946533,True,False,True,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.7665764689445496,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.8051374554634094,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.7954261302947998,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.8693235516548157,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,median5_clahe,Apple,Unripe,Banana,Unripe,0.6114595532417297,True,False,True,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.9302678108215332,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.9209782481193542,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.9335642457008362,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.9410757422447205,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.9517787098884583,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.7905399799346924,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.6448500752449036,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.6298061609268188,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.6474551558494568,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,median5_clahe,Apple,Unripe,Apple,Ripe,0.6333445310592651,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.8994821906089783,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.8985434770584106,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.814012885093689,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.8846865892410278,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.8734229207038879,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,resized_only,Apple,Unripe,Apple,Ripe,0.8773205280303955,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,median3_bilateral,Apple,Unripe,Apple,Ripe,0.8205434679985046,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.8334178924560547,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,median3_clahe,Apple,Unripe,Apple,Ripe,0.7907419204711914,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.8002637624740601,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.8144130706787109,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.9142603874206543,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.9204025864601135,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.8971530795097351,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.9212424159049988,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,resized_only,Apple,Unripe,Apple,Unripe,0.9902613759040833,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,median3_bilateral,Apple,Unripe,Apple,Unripe,0.9890596866607666,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,median5_bilateral,Apple,Unripe,Apple,Unripe,0.9892832040786743,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,median3_clahe,Apple,Unripe,Apple,Unripe,0.9894887804985046,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,median5_clahe,Apple,Unripe,Apple,Unripe,0.9881837964057922,True,True,True,True
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,resized_only,Apple,Unripe,Apple,Ripe,0.9298744797706604,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,median3_bilateral,Apple,Unripe,Apple,Ripe,0.9499253034591675,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,median5_bilateral,Apple,Unripe,Apple,Ripe,0.964677095413208,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,median3_clahe,Apple,Unripe,Apple,Ripe,0.9599177837371826,True,True,False,False
Unripe Apple,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,median5_clahe,Apple,Unripe,Apple,Ripe,0.9642992615699768,True,True,False,False
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,resized_only,Banana,Ripe,Banana,Ripe,0.7785003781318665,True,True,True,True
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,median3_bilateral,Banana,Ripe,Banana,Ripe,0.7609793543815613,True,True,True,True
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,median5_bilateral,Banana,Ripe,Banana,Ripe,0.8007387518882751,True,True,True,True
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,median3_clahe,Banana,Ripe,Banana,Ripe,0.7464808821678162,True,True,True,True
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,median5_clahe,Banana,Ripe,Banana,Ripe,0.7758133411407471,True,True,True,True
Ripe Banana,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-23dd490e-7dda-11ed-9371-ca27fdb58ae8_jpg.rf.0c6972cb9c6158bb71733cf3d0a90077.jpg,resized_only,Banana,Ripe,Banana,Ripe,0.7072463631629944,True,True,True,True
