baseline_correct,baseline_ripeness,detected_fruit,expected_fruit,expected_ripeness,gated_correct,gated_model_c_ripeness,gated_ripeness,image,model_c_fruit,model_c_matches_final,raw_model_c_ripeness,status
True,Ripe,Banana,Banana,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,Banana,True,Ripe,evaluated
True,Ripe,Banana,Banana,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-23dd490e-7dda-11ed-9371-ca27fdb58ae8_jpg.rf.0c6972cb9c6158bb71733cf3d0a90077.jpg,,False,,evaluated
False,Overripe,Banana,Banana,Ripe,False,Overripe,Overripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-456415b6-ebec-11ed-98aa-346f24e2fa38_jpg.rf.705ad4d0b0619112146cfbe0c0ccb6d5.jpg,Banana,True,Overripe,evaluated
False,Unripe,Banana,Banana,Ripe,False,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-5ffa2369-7ddb-11ed-93e2-ca27fdb58ae8_jpg.rf.2646d4d044e939e0ad5e6c8c2b1db32f.jpg,,False,,evaluated
False,Rotten,Banana,Banana,Ripe,False,,Rotten,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-754d5cbe-79f2-11ed-82b5-c0b87d5d3464_jpg.rf.4fa1ab921c3a6dc496312d2a474b8cbd.jpg,,False,,evaluated
True,Ripe,Banana,Banana,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-8d534f83-7613-11ed-85ac-d0ec6da7db5b_jpg.rf.919d908bdebd51d07952ff8a96c9d0b9.jpg,Banana,True,Ripe,evaluated
False,Unripe,Banana,Banana,Ripe,False,Ripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-a812de01-ebec-11ed-a5d9-346f24e2fa38_jpg.rf.701c4b1a61e83e637c84c84806e7e9ff.jpg,Banana,True,Ripe,evaluated
True,Ripe,Banana,Banana,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-caf6dca5-ebec-11ed-a19c-346f24e2fa38_jpg.rf.4c7a909f406a218ebb3445c439ca79e9.jpg,Banana,True,Ripe,evaluated
True,Ripe,Banana,Banana,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-f5de363c-eb52-11ed-9d82-088fc3734c75_jpg.rf.07bd1cc24dd21abc1c8cc0b12461f6fb.jpg,,False,,evaluated
True,Ripe,Banana,Banana,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana_0_970_jpg.rf.2047abb85e8e5a72a09f4fb67b1716ea.jpg,,False,,evaluated
True,Ripe,Grape,Grape,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\05E621YQ1UN9_jpg.rf.842343d7fa930abe265c716e8071239a.jpg,Grape,True,Ripe,evaluated
False,Unripe,Grape,Grape,Ripe,False,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\2024-06-12-07-39-56_mp4-0303_jpg.rf.a8d1a2d19eac5d4a647c8d5958ae859a.jpg,,False,,evaluated
False,Rotten,Grape,Grape,Ripe,False,,Rotten,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\2024-06-12-11-19-43-1-_mp4-0205_jpg.rf.999f7d4cf6e6525749054ceff42b261a.jpg,,False,,evaluated
False,Rotten,Grape,Grape,Ripe,False,,Rotten,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\2024-06-12-11-19-43-1-_mp4-0264_jpg.rf.e2b73979b21137f523ab421a57868f69.jpg,,False,,evaluated
True,Ripe,Grape,Grape,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\2024-06-19-11-31-32_mp4-0175_jpg.rf.f1287bcaae23c6bda4227d549ec54b14.jpg,,False,,evaluated
True,Ripe,Grape,Grape,Ripe,True,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\2024-06-19-11-31-32_mp4-0399_jpg.rf.edf3a3fd9f4d8b13ac8fc5bb0b377709.jpg,,False,,evaluated
False,Rotten,Grape,Grape,Ripe,False,Rotten,Rotten,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\371_png.rf.ad4e750afd96f3643d1ce502434527e6.jpg,Grape,True,Rotten,evaluated
True,Ripe,Grape,Grape,Ripe,True,Unripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\8N2VGZGERMPJ_jpg.rf.510fbb8fc69d82174dc25a9120ec0815.jpg,Grape,True,Unripe,evaluated
True,Ripe,Grape,Grape,Ripe,True,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\I5XN3RRNRXE8_jpg.rf.15d1980099113b8ce12cc7c1961db6a4.jpg,Grape,True,Ripe,evaluated
True,Ripe,Grape,Grape,Ripe,True,Rotten,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Grape\ZENZ51IVM0TN_jpg.rf.41e369ebb5f35bf6b7e09cafc4c118dc.jpg,Grape,True,Rotten,evaluated
,,Orange,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-003f5109-ebd2-11ed-9060-346f24e2fa38_jpg.rf.907bf1d0b668baeb8a7f519b8b0a606f.jpg,,,,wrong_fruit
,,Peach,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-21ed01e7-ebd2-11ed-b0bd-346f24e2fa38_jpg.rf.733ae453360204eb7ef56d1bed8045b2.jpg,,,,wrong_fruit
,,Orange,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-435206e6-ebe1-11ed-a024-346f24e2fa38_jpg.rf.731125c9dc8fe57096e9ebc612ab70c4.jpg,,,,wrong_fruit
,,Peach,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-650259e6-ebee-11ed-945b-346f24e2fa38_jpg.rf.5a6ff42b43d769b8810b699817c25886.jpg,,,,wrong_fruit
,,,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-88d85664-ebed-11ed-bd63-346f24e2fa38_jpg.rf.a033bfcfc6d7df0df61efabaefbdb074.jpg,,,,no_detection
,,Apple,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-a733e771-ebee-11ed-9273-346f24e2fa38_jpg.rf.3786626b8664d042c01d4e40c4bf7db7.jpg,,,,wrong_fruit
,,Grape,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-c1ee9099-ebd2-11ed-acf3-346f24e2fa38_jpg.rf.3fe9acaf57726993456136337804c42b.jpg,,,,wrong_fruit
,,Grape,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-dd11db47-ebed-11ed-9023-346f24e2fa38_jpg.rf.23a6b8bf25e3e272b06182b4904525ea.jpg,,,,wrong_fruit
,,Melon,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango-fe144afc-ebd2-11ed-8296-346f24e2fa38_jpg.rf.084a2c0003b989e1c023ca7e3050a3be.jpg,,,,wrong_fruit
,,Apple,Mango,Ripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Mango\Ripe_Mango_0_990_jpg.rf.01220b5b230cb111770a5686211bde76.jpg,,,,wrong_fruit
True,Unripe,Apple,Apple,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00002_JPG.rf.2c0bb1ed2cc303675d0021138ba2c9d1.jpg,,False,,evaluated
True,Unripe,Apple,Apple,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\01-00-00080_JPG.rf.ede224704b49271c9bd916101a66ff90.jpg,,False,,evaluated
True,Unripe,Apple,Apple,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\56_png.rf.a91efc0a7f20f907760c217b097efe4e.jpg,,False,,evaluated
False,Ripe,Apple,Apple,Unripe,False,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De03241_png.rf.7f329fb484523e30b2fb5395919ace8d.jpg,,False,,evaluated
True,Unripe,Apple,Apple,Unripe,True,Ripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-De13161_png.rf.b491ad280a21024a0b88eeeb2c3d8c47.jpg,Apple,True,Ripe,evaluated
True,Unripe,Apple,Apple,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\Apple-dee10921_png.rf.bbed4c2015e998fca9751b5a128c5a87.jpg,,False,,evaluated
True,Unripe,Apple,Apple,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\applee08180_png.rf.809a35cc905e746ea74bcee19e2df76a.jpg,,False,,evaluated
True,Unripe,Apple,Apple,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\futfut_apple-5-_jpeg.rf.942a7dd72690a769e4b6254d02ed66e4.jpg,Apple,True,Unripe,evaluated
True,Unripe,Apple,Apple,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\r0_43_jpg.rf.a42f4c850388af00fd0c13eaa2e2cb88.jpg,Apple,True,Unripe,evaluated
False,Ripe,Apple,Apple,Unripe,False,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Apple\scene03726_png.rf.e82db79919f48286be80c2b001c614db.jpg,,False,,evaluated
True,Unripe,Banana,Banana,Unripe,True,,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-00580edf-7dd9-11ed-9168-ca27fdb58ae8_jpg.rf.c98734c3f893939e9c8a6064f6bc735d.jpg,Pear,False,Rotten,evaluated
False,Ripe,Banana,Banana,Unripe,False,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-2c6a5f8a-ebe5-11ed-b05e-346f24e2fa38_jpg.rf.9563f89c1623d03e42e840fff91fefa2.jpg,Banana,True,Ripe,evaluated
True,Unripe,Banana,Banana,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-516eb4c3-7dd9-11ed-9895-ca27fdb58ae8_jpg.rf.688aa6430d9afa2e64e2eb622e73c9a6.jpg,Banana,True,Unripe,evaluated
False,Overripe,Banana,Banana,Unripe,False,Ripe,Overripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-740a0dd9-ebcb-11ed-b0d4-346f24e2fa38_jpg.rf.b4af3e7e5b400c59443d807ae8cb7a44.jpg,Banana,True,Ripe,evaluated
False,Ripe,Banana,Banana,Unripe,False,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-94bc9bef-ebe4-11ed-8d4c-346f24e2fa38_jpg.rf.b3fc54693ee6eb15e6852916157b1c73.jpg,Banana,True,Ripe,evaluated
False,Ripe,Banana,Banana,Unripe,False,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-b0639f27-ebe4-11ed-b905-346f24e2fa38_jpg.rf.863c7ba52b3270557e3a8df7ac1905b4.jpg,Banana,True,Ripe,evaluated
,,,Banana,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-cb19c316-7dd8-11ed-a863-ca27fdb58ae8_jpg.rf.0457f5ca973fac594527251221b60ff1.jpg,,,,no_detection
True,Unripe,Banana,Banana,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana-eaacb68f-7612-11ed-b07f-d0ec6da7db5b_jpg.rf.365270a2d639daab26b19be5d108a4a7.jpg,Banana,True,Unripe,evaluated
False,Ripe,Banana,Banana,Unripe,False,Ripe,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana_0_3623_jpg.rf.d5960b06896f27213816c8dfe5514be1.jpg,Banana,True,Ripe,evaluated
False,Ripe,Banana,Banana,Unripe,False,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Banana\Raw_Banana_0_929_jpg.rf.04e7cda8d9226bbafcf1bc07a6b76bb4.jpg,Pear,False,Ripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\028425cf-278_jpg.rf.f78f483a2fb51405588ebb457296d121.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\2024-06-12-07-39-56_mp4-0267_jpg.rf.8adb3691a1b936476277a7b3bb0e118a.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\2024-06-12-11-19-43-1-_mp4-0124_jpg.rf.8f43daab5a63f301773c4418ab4d23f0.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\2024-06-19-11-31-32_mp4-0005_jpg.rf.14bed68b5b7a03708156672cfb226580.jpg,Grape,True,Unripe,evaluated
False,Ripe,Grape,Grape,Unripe,False,,Ripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\2024-06-19-11-31-32_mp4-0317_jpg.rf.222166fa8b82c100909d809214f74159.jpg,,False,,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\287_png.rf.a9791de1d9e25ae87dfb0f1fde98f75f.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\4698c38e-156_jpg.rf.463a992cd01db3962566e1bb655ee850.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\PXL_20230819_121106107_jpg.rf.0d52ed26382323824011f10a1f3a5f30.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\c9a6e6c6-346_jpg.rf.30f4012d0d60c524b435b9961236a697.jpg,Grape,True,Unripe,evaluated
True,Unripe,Grape,Grape,Unripe,True,Unripe,Unripe,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Grape\vine22_jpg.rf.78ac5feb3bf7452adcf496d838ec26a6.jpg,Grape,True,Unripe,evaluated
,,Grape,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-002bda5c-ebdb-11ed-9978-346f24e2fa38_jpg.rf.69c2d959d3598360ad247fa1fa76c0b0.jpg,,,,wrong_fruit
,,Grape,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-23130ced-ebdb-11ed-bdad-346f24e2fa38_jpg.rf.1ab1befa54996a6860846e6c1d303843.jpg,,,,wrong_fruit
,,Apple,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-44c4ee22-ebdb-11ed-8972-346f24e2fa38_jpg.rf.caf8083628219c4472ace9b3f75d1b5a.jpg,,,,wrong_fruit
,,Grape,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-667a3a38-ebdb-11ed-8e18-346f24e2fa38_jpg.rf.ed2b98e34cd8c0620410f048c54ab386.jpg,,,,wrong_fruit
,,Grape,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-8862b7de-ebcf-11ed-9179-346f24e2fa38_jpg.rf.0de2789eae9494210a75b35d92f37c1a.jpg,,,,wrong_fruit
,,Banana,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-a28fbf1b-ebe7-11ed-848e-346f24e2fa38_jpg.rf.0650a698cc0dc6e6d53cfaed0a697d09.jpg,,,,wrong_fruit
,,Apple,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-bae5f3e4-ebcf-11ed-a82d-346f24e2fa38_jpg.rf.8fb0aa131a136c270a8a1bb5326baad4.jpg,,,,wrong_fruit
,,Banana,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-d5792062-ebe8-11ed-a969-346f24e2fa38_jpg.rf.61d37f447e13802e9a5fa6244c392ba6.jpg,,,,wrong_fruit
,,Apple,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango-f69a484c-eb54-11ed-8b08-088fc3734c75_jpg.rf.55f1a1795f36feddcc8b9ce4752cafb4.jpg,,,,wrong_fruit
,,Grape,Mango,Unripe,,,,C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Unripe Mango\Raw_Mango_0_9_jpg.rf.91dfe80314424e4cc6891f998ce1deb7.jpg,,,,wrong_fruit
