case_id,source_group,source_image,image,detection_index,fruit_type,detection_confidence,bounding_box,agreement,class_disagreement,class_votes,reliability_status,box_status,support_level,ripeness_status,defect_status,model_c_ripeness,final_ripeness,ripeness_confidence,fruit_area_pixels,blemish_percentage,roi_error
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,04_fruits_in_basket.jpg,5,Apple,0.5883431434631348,"(74, 252, 223, 388)",Model A + Model C + Model D,False,"{""Apple"": 1.3567939400672913}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.768180792508247,10120,,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,01_mango_single.jpg,1,Apple,0.7383328080177307,"(0, 80, 640, 552)",Model A only,False,"{""Apple"": 0.7383328080177307}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.9585899895573906,90127,8.057518834533491,
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,02_pear_single.jpg,1,Orange,0.6555498242378235,"(337, 242, 433, 396)",Model A only,False,"{""Orange"": 0.6555498242378235}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.6668480273142651,8990,,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,02_pear_single.jpg,2,Orange,0.37126263976097107,"(421, 265, 495, 378)",Model A only,False,"{""Orange"": 0.37126263976097107}",Review required,Accepted,Full analysis,Available,Available,,Rotten,0.8639377271092068,5165,,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,03_peach_single.jpg,1,Apple,0.6763907670974731,"(95, 106, 506, 504)",Spatial match: Model A + Model C + Model D; class vote: Apple,True,"{""Orange"": 0.9255034923553467, ""Apple"": 1.333336889743805}",Review required,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.35238202426108867,93439,1.1932918802641297,
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,04_grape_single.jpg,1,Grape,0.9471454620361328,"(0, 138, 640, 500)",Model A only,False,"{""Grape"": 0.9471454620361328}",Review required,Accepted,Full analysis,Available,Available,,Rotten,0.32893230779267385,190898,28.183637335121375,
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,06_pineapple_single.jpg,1,Pineapple,0.8967649340629578,"(133, 110, 470, 530)",Spatial match: Model A + Model C + Model D; class vote: Pineapple,True,"{""Pineapple"": 0.8967649340629578, ""Grape"": 0.7793300151824951, ""Banana"": 0.3173854947090149}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,109867,,
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,08_mixed_natural_light.jpg,1,Banana,0.5042288303375244,"(105, 4, 527, 626)",Model C + Model D,False,"{""Banana"": 0.8080776035785675}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.8635682259234342,149581,38.24148788950468,
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,08_mixed_natural_light.jpg,2,Orange,0.4474610686302185,"(106, 26, 278, 221)",Model A only,False,"{""Orange"": 0.4474610686302185}",Review required,Accepted,Full analysis,Available,Available,,Ripe,0.8963717976030714,30382,14.91343558686064,
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,img_5874-1.png,1,Apple,0.6324881911277771,"(191, 262, 459, 519)",Model A only,False,"{""Apple"": 0.6324881911277771}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.584983236043482,32148,5.94749284558915,
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,img_5874-1.png,2,Apple,0.5487270355224609,"(127, 103, 303, 302)",Model A only,False,"{""Apple"": 0.5487270355224609}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.676019106032359,24948,26.71957671957672,
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,img_5874-1.png,3,Apple,0.35458993911743164,"(300, 75, 513, 298)",Model A only,False,"{""Apple"": 0.35458993911743164}",Review required,Accepted,Full analysis,Available,Available,,Unripe,0.9195936390260427,11906,,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,1,Pineapple,0.8497495055198669,"(395, 223, 520, 370)",Model A only,False,"{""Pineapple"": 0.8497495055198669}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,15516,,
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,2,Pineapple,0.7538954019546509,"(356, 105, 503, 235)",Model A only,False,"{""Pineapple"": 0.7538954019546509}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,16106,,
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,3,Pineapple,0.6127267479896545,"(17, 104, 636, 533)",Spatial match: Model A + Model D; class vote: Pineapple,True,"{""Pineapple"": 0.6127267479896545, ""Grape"": 0.42023852467536926}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,145944,,
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,4,Pineapple,0.5138667225837708,"(30, 248, 241, 471)",Spatial match: Model A + Model D; class vote: Pineapple,True,"{""Pineapple"": 0.5138667225837708, ""Grape"": 0.4709066152572632}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,34195,,
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,1,Banana,0.9440476298332214,"(13, 319, 346, 620)",Model A + Model C + Model D,False,"{""Banana"": 2.3759291768074036}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.8868389789699207,74148,11.939634245023466,
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,2,Apple,0.903804361820221,"(338, 414, 504, 623)",Model A + Model C + Model D,False,"{""Apple"": 2.692441940307617}",Accepted,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.8090148040274748,29569,9.121038925902127,
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,3,Apple,0.8340703845024109,"(445, 292, 623, 508)",Model A + Model C + Model D,False,"{""Apple"": 2.176627218723297}",Accepted,Accepted,Full analysis,Available,Available,Unripe,Unripe,0.7371043269408182,28067,13.0509138846332,
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,4,Orange,0.7453221082687378,"(101, 189, 285, 370)",Model C only,False,"{""Orange"": 0.7453221082687378}",Review required,Accepted,Full analysis,Available,Available,Ripe,Ripe,0.6650778393592679,26452,1.0282776349614395,
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,5,Pineapple,0.6462990641593933,"(226, 0, 633, 465)",Model A only,False,"{""Pineapple"": 0.6462990641593933}",Review required,Accepted,Detection only,Not evaluated - detection only,Not evaluated - detection only,,,,84916,,
