image,folder,expected_fruit,preprocessing_suitability,blur_status,exposure_status,contrast_status,blur_score,current_top_prediction,current_top_confidence,current_top1_correct,current_any_hit,current_detection_count,current_expected_box_count,current_extra_expected_boxes,current_false_positive_count,current_predictions,current_model_a_raw_count,current_model_c_raw_count,current_model_d_raw_count,restricted_model_a_top_prediction,restricted_model_a_top_confidence,restricted_model_a_top1_correct,restricted_model_a_any_hit,restricted_model_a_detection_count,restricted_model_a_expected_box_count,restricted_model_a_extra_expected_boxes,restricted_model_a_false_positive_count,restricted_model_a_predictions,restricted_model_a_model_a_raw_count,restricted_model_a_model_c_raw_count,restricted_model_a_model_d_raw_count
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\Screen Shot 2018-06-12 at 9.59.48 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Low,776.1296885727545,Banana,0.846937894821167,True,True,1,1,0,0,Banana,1,1,1,Banana,0.846937894821167,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f281.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Low,120.39418679742919,Banana,0.768839418888092,True,True,1,1,0,0,Banana,2,1,1,Banana,0.7263898253440857,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 10.00.07 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,7734.120436341694,Banana,0.9691229462623596,True,True,1,1,0,0,Banana,1,1,1,Banana,0.9691229462623596,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.59.02 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,1688.3110752222485,Banana,0.8692580461502075,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8692580461502075,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 10.00.00 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,509.6948332505571,Banana,0.8113981485366821,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8113981485366821,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 9.56.33 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Low,667.2001488008738,Banana,0.7554073333740234,True,True,1,1,0,0,Banana,1,1,1,Banana,0.7554073333740234,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\translation_Screen Shot 2018-06-12 at 10.00.12 PM.png,freshbanana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,4852.158627748828,Banana,0.9571024775505066,True,True,1,1,0,0,Banana,1,1,1,Banana,0.698066771030426,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\translation_Screen Shot 2018-06-12 at 9.59.07 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,4389.699376914639,Banana,0.8135280013084412,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8135280013084412,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 10.00.21 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Low,489.4485638054379,Banana,0.9417879581451416,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8539185523986816,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.59.48 PM.png,freshbanana,Banana,Review required,Acceptable,Overexposed,Low,776.1147013278563,Banana,0.794040322303772,True,True,1,1,0,0,Banana,1,1,1,Banana,0.794040322303772,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\Screen Shot 2018-06-12 at 11.50.14 PM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,867.1133218275954,Orange,0.9620268940925598,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8834398984909058,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\Screen Shot 2018-06-13 at 12.18.40 AM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Low,224.00179247676974,Orange,0.9637759923934937,True,True,1,1,0,0,Orange,1,2,1,Orange,0.8581375479698181,True,True,1,1,0,0,Orange,0,2,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.50.41 PM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,5292.900190595032,Orange,0.9566989541053772,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8710945844650269,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.20.39 AM.png,freshoranges,Orange,Acceptable,Acceptable,Acceptable,Acceptable,2653.024397753111,Orange,0.8233874440193176,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8233874440193176,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\saltandpepper_Screen Shot 2018-06-12 at 11.51.02 PM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,773.7913918501795,Orange,0.9592018723487854,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8952820301055908,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.20.39 AM.png,freshoranges,Orange,Acceptable,Acceptable,Acceptable,Acceptable,330.6188912079934,Orange,0.8563634753227234,True,True,2,2,1,0,Orange; Orange,1,2,2,Orange,0.8563634753227234,True,True,2,2,1,0,Orange; Orange,0,2,2
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\translation_Screen Shot 2018-06-12 at 11.50.28 PM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,4745.841731877448,Orange,0.9821625351905823,True,True,1,1,0,0,Orange,1,1,1,Orange,0.9235892295837402,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\translation_Screen Shot 2018-06-13 at 12.18.27 AM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,4962.69052606094,Orange,0.9632906913757324,True,True,1,1,0,0,Orange,1,1,1,Orange,0.9170061349868774,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\vertical_flip_Screen Shot 2018-06-12 at 11.50.28 PM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Low,192.0985790615822,Orange,0.9782829284667969,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8991519808769226,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.20.06 AM.png,freshoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,480.3359375,Orange,0.9478538632392883,True,True,1,1,0,0,Orange,1,0,1,Orange,0.8503881692886353,True,True,1,1,0,0,Orange,0,0,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\Screen Shot 2018-06-08 at 2.52.57 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,160.81235350769902,Apple,0.8368644714355469,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8294185400009155,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\a_r231.png,rottenapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,1332.4449914751106,Apple,0.9150270819664001,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9150270819664001,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\rotated_by_15_Screen Shot 2018-06-07 at 2.16.18 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,5054.742161937499,Apple,0.9160146117210388,True,True,1,1,0,0,Apple,1,1,1,Apple,0.78764808177948,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\rotated_by_75_Screen Shot 2018-06-08 at 2.52.57 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,3566.1072399732925,Apple,0.8824898600578308,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8824898600578308,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\saltandpepper_Screen Shot 2018-06-07 at 2.15.34 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,295.9804857807814,Apple,0.9207337498664856,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9207337498664856,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\saltandpepper_Screen Shot 2018-06-08 at 2.51.28 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,636.8034605395312,Orange,0.7740744948387146,False,False,1,0,0,1,Orange,1,2,1,Pear,0.6586217880249023,False,False,1,0,0,1,Pear,0,2,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\translation_Screen Shot 2018-06-07 at 2.16.18 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,10742.759465746094,Apple,0.9372902512550354,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8794907927513123,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\translation_Screen Shot 2018-06-08 at 2.52.57 PM.png,rottenapples,Apple,Review required,Acceptable,Overexposed,Acceptable,4301.401182189698,Apple,0.9288502335548401,True,True,1,1,0,0,Apple,2,1,1,Apple,0.9288502335548401,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\vertical_flip_Screen Shot 2018-06-07 at 2.15.50 PM.png,rottenapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,883.4343241869918,Apple,0.9195797443389893,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9195797443389893,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenapples\vertical_flip_Screen Shot 2018-06-08 at 2.51.43 PM.png,rottenapples,Apple,Acceptable,Acceptable,Acceptable,Acceptable,2277.628916232838,Apple,0.9415217041969299,True,True,1,1,0,0,Apple,1,2,1,Apple,0.8324596285820007,True,True,1,1,0,0,Apple,0,2,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\Screen Shot 2018-06-12 at 9.28.04 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,1504.3084319526627,Banana,0.8487369418144226,True,True,2,1,0,1,Banana; Orange,1,1,1,Banana,0.8487369418144226,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\b_r219.png,rottenbanana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,1200.7348602107725,Banana,0.7086751461029053,True,True,1,1,0,0,Banana,1,1,1,Banana,0.7086751461029053,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\rotated_by_15_Screen Shot 2018-06-12 at 8.47.51 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,11664.4782364339,Banana,0.825235903263092,True,True,1,1,0,0,Banana,1,1,1,Banana,0.825235903263092,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.27.46 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,6522.935181659357,Banana,0.8509847521781921,True,True,1,1,0,0,Banana,0,1,1,Banana,0.8509847521781921,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\saltandpepper_Screen Shot 2018-06-12 at 8.47.51 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,4271.535807291667,Banana,0.8873934149742126,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8873934149742126,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\saltandpepper_Screen Shot 2018-06-12 at 9.27.41 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,1703.637053521604,Banana,0.6184553503990173,True,True,1,1,0,0,Banana,0,1,1,Banana,0.6184553503990173,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\translation_Screen Shot 2018-06-12 at 8.48.18 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,11713.662068975638,Banana,0.8683663010597229,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8683663010597229,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\translation_Screen Shot 2018-06-12 at 9.27.56 PM.png,rottenbanana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,8348.494771538499,Banana,0.8825439214706421,True,True,1,1,0,0,Banana,1,1,1,Banana,0.8527079224586487,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\vertical_flip_Screen Shot 2018-06-12 at 8.48.07 PM.png,rottenbanana,Banana,Review required,Acceptable,Overexposed,Acceptable,2854.4806641528703,Banana,0.7225114107131958,True,True,1,1,0,0,Banana,1,1,1,Banana,0.6961683034896851,True,True,1,1,0,0,Banana,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenbanana\vertical_flip_Screen Shot 2018-06-12 at 9.28.09 PM.png,rottenbanana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,1320.7099197458822,No detection,,False,False,0,0,0,0,,0,0,0,No detection,,False,False,0,0,0,0,,0,0,0
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\Screen Shot 2018-06-12 at 11.18.34 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,478.17450222846395,Orange,0.9335482716560364,True,True,1,1,0,0,Orange,1,1,1,Orange,0.911935567855835,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\Screen Shot 2018-06-12 at 11.45.33 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,1079.3141787190082,Watermelon,0.5388514399528503,False,False,1,0,0,1,Watermelon,2,1,1,Watermelon,0.5388514399528503,False,False,1,0,0,1,Watermelon,1,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.18.46 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,3988.4477239851617,Orange,0.9645395278930664,True,True,1,1,0,0,Orange,1,1,1,Orange,0.915376603603363,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\rotated_by_75_Screen Shot 2018-06-12 at 11.46.17 PM.png,rottenoranges,Orange,Acceptable,Acceptable,Acceptable,Acceptable,4811.061355792317,Orange,0.9583221673965454,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8815128207206726,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\saltandpepper_Screen Shot 2018-06-12 at 11.18.41 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,342.6945539542607,Orange,0.9502899050712585,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8717302680015564,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\saltandpepper_Screen Shot 2018-06-12 at 11.45.33 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,1095.6931775493479,Orange,0.9190601110458374,True,True,1,1,0,0,Orange,2,1,1,Watermelon,0.476574182510376,False,False,1,0,0,1,Watermelon,1,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\translation_Screen Shot 2018-06-12 at 11.18.28 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,11894.481929977554,Orange,0.9691929221153259,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8989469408988953,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\translation_Screen Shot 2018-06-12 at 11.46.17 PM.png,rottenoranges,Orange,Acceptable,Acceptable,Acceptable,Acceptable,4915.252362199763,Watermelon,0.866191565990448,False,False,1,0,0,1,Watermelon,1,1,1,Watermelon,0.866191565990448,False,False,1,0,0,1,Watermelon,1,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\vertical_flip_Screen Shot 2018-06-12 at 11.18.41 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Low,238.32429176933914,Orange,0.9383275508880615,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8863043189048767,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\rottenoranges\vertical_flip_Screen Shot 2018-06-12 at 11.46.10 PM.png,rottenoranges,Orange,Review required,Acceptable,Overexposed,Acceptable,117.98848891379157,Orange,0.8418588042259216,True,True,1,1,0,0,Orange,1,1,1,Orange,0.8418588042259216,True,True,1,1,0,0,Orange,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\-00020_jpg.rf.5b762add9dd976cacd979ab5e7dcf47e.jpg,Ripe Apple,Apple,Review required,Acceptable,Overexposed,Acceptable,684.5069526284933,Apple,0.9312310814857483,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9312310814857483,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\Screenshot-34-_png.rf.d694470212e66860bd6cf9123f867c66.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,9147.69785438478,Apple,0.753411054611206,True,True,5,5,4,0,Apple; Apple; Apple; Apple; Apple,7,1,1,Apple,0.7227922081947327,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\_MG_8993_07_jpg.rf.9313f3115540e2ce479f80db3015a636.jpg,Ripe Apple,Apple,Review required,Acceptable,Overexposed,Acceptable,17527.953950627707,Apple,0.6456480622291565,True,True,2,2,1,0,Apple; Apple,2,0,0,No detection,,False,False,0,0,0,0,,0,0,0
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\citra98_jpg.rf.47fe97bc9c1d75048448f69ed3794f20.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,585.4535918086767,Apple,0.9764898419380188,True,True,1,1,0,0,Apple,1,1,1,Apple,0.9764898419380188,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r0_248_jpg.rf.d6e968c25146c7aa1da74afd25cdb533.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,2602.201784476638,Apple,0.9828161597251892,True,True,1,1,0,0,Apple,2,1,1,Apple,0.9828161597251892,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\r1_192_jpg.rf.998f86f9fa17ed7effd14f618ec55e33.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,2758.5633684955537,Watermelon,0.6938827633857727,False,False,1,0,0,1,Watermelon,2,1,1,Watermelon,0.6938827633857727,False,False,1,0,0,1,Watermelon,1,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\resized_image_3089_jpg.rf.2f9f801ac25aa11cfdd963c906d39b2d.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,3447.369308050722,Apple,0.7542337775230408,True,True,3,3,2,0,Apple; Apple; Apple,1,2,3,Apple,0.7542337775230408,True,True,3,3,2,0,Apple; Apple; Apple,0,2,3
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_29_7_jpeg_jpg.rf.0601fedd7335d6f51fde904075ac6138.jpg,Ripe Apple,Apple,Review required,Acceptable,Underexposed,Acceptable,6460.256583686918,Apple,0.7958000302314758,True,True,1,1,0,0,Apple,1,1,1,Apple,0.7958000302314758,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\slice_46_5_jpeg.rf.2d254828922ce5c63b263b5aa093585b.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,5239.211202289909,Apple,0.8906719088554382,True,True,1,1,0,0,Apple,1,1,1,Apple,0.5195440649986267,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Apple\translation_Screen-Shot-2018-06-08-at-5-08-05-PM_png_jpg.rf.5c4b062d2f5f206fa3dd5e85b91e0501.jpg,Ripe Apple,Apple,Acceptable,Acceptable,Acceptable,Acceptable,8236.280843075365,Apple,0.9098568558692932,True,True,1,1,0,0,Apple,1,1,1,Apple,0.8798486590385437,True,True,1,1,0,0,Apple,0,1,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-006d0c7d-7ddb-11ed-9541-ca27fdb58ae8_jpg.rf.071f953638d4566b4eb2303895843103.jpg,Ripe Banana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,402.40084063168615,Banana,0.8007387518882751,True,True,2,2,1,0,Banana; Banana,2,1,3,Banana,0.7410104870796204,True,True,1,1,0,0,Banana,0,1,3
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-23dd490e-7dda-11ed-9371-ca27fdb58ae8_jpg.rf.0c6972cb9c6158bb71733cf3d0a90077.jpg,Ripe Banana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,500.57374235615134,Banana,0.5616661906242371,True,True,1,1,0,0,Banana,1,0,1,Banana,0.5415083169937134,True,True,1,1,0,0,Banana,0,0,1
C:\Users\Kai\Documents\Image Processing\assgm\archive (1)\Ripe Banana\Ripe_Banana-456415b6-ebec-11ed-98aa-346f24e2fa38_jpg.rf.705ad4d0b0619112146cfbe0c0ccb6d5.jpg,Ripe Banana,Banana,Acceptable,Acceptable,Acceptable,Acceptable,1306.337472077459,Banana,0.7076933979988098,True,True,2,1,0,1,Banana; Grape,2,1,1,Banana,0.7076933979988098,True,True,1,1,0,0,Banana,0,1,1
