case_id,source_group,source_image,variant,expected_classes,predicted_classes,expected_class_count,hit_count,presence_recall,false_class_count,false_classes,detection_count,rejected_box_count,duplicate_box_count,preprocessing_suitability,blur_status,exposure_status,contrast_status,blur_score
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,bright_140_percent,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Apple; Pineapple; Apple; Apple; Banana,9,4,0.4444444444444444,0,,6,0,2,Acceptable,Acceptable,Acceptable,Acceptable,7277.122878458096
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,gaussian_blur_9,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Apple; Banana; Pineapple; Apple; Banana,9,4,0.4444444444444444,0,,6,0,2,Acceptable,Acceptable,Acceptable,Acceptable,5340.401630840367
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,salt_pepper_1_percent,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Apple; Pineapple; Banana; Apple; Banana,9,4,0.4444444444444444,0,,6,0,2,Acceptable,Acceptable,Acceptable,Acceptable,5382.230308223316
03_03_culinary_fruits,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\03_culinary_fruits.jpg,rotate_15_degrees,Apple; Banana; Grape; Mango; Melon; Orange; Pear; Pineapple; Watermelon,Watermelon; Apple; Apple; Banana; Banana,9,3,0.3333333333333333,0,,5,0,2,Acceptable,Acceptable,Acceptable,Acceptable,6185.767278871107
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,original,Apple; Banana; Grape; Orange,Apple; Banana; Apple; Apple; Apple,4,2,0.5,0,,5,0,3,Acceptable,Acceptable,Acceptable,Acceptable,5490.777679019505
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,dark_45_percent,Apple; Banana; Grape; Orange,Banana; Apple; Apple; Apple; Apple,4,2,0.5,0,,5,0,3,Review required,Acceptable,Acceptable,Low,1119.4220852835313
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,bright_140_percent,Apple; Banana; Grape; Orange,Apple; Banana; Apple; Apple; Orange,4,3,0.75,0,,5,0,2,Review required,Acceptable,Overexposed,Acceptable,7069.61635688775
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,gaussian_blur_9,Apple; Banana; Grape; Orange,Apple; Banana; Apple; Apple; Apple,4,2,0.5,0,,5,0,3,Acceptable,Acceptable,Acceptable,Acceptable,5295.428418541948
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,salt_pepper_1_percent,Apple; Banana; Grape; Orange,Apple; Banana; Apple; Apple; Apple,4,2,0.5,0,,5,0,3,Acceptable,Acceptable,Acceptable,Acceptable,5345.053380747636
04_04_fruits_in_basket,existing_external,C:\Users\Kai\Documents\Image Processing\assgm\image\external_system_evaluation\04_fruits_in_basket.jpg,rotate_15_degrees,Apple; Banana; Grape; Orange,Banana; Apple; Apple; Apple; Apple,4,2,0.5,0,,5,0,3,Acceptable,Acceptable,Acceptable,Acceptable,7123.571353534858
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,original,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,15868.685211333608
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,dark_45_percent,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,3223.7483715007293
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,bright_140_percent,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Review required,Acceptable,Overexposed,Acceptable,11397.592514388645
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,gaussian_blur_9,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,11111.761119144865
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,salt_pepper_1_percent,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,15576.57245355885
05_01_mango_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\01_mango_single.jpg,rotate_15_degrees,Mango,Apple,1,0,0.0,1,Apple,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,16987.317237636416
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,original,Pear,Orange; Orange,1,0,0.0,1,Orange,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,5663.939584368037
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,dark_45_percent,Pear,Orange,1,0,0.0,1,Orange,1,0,0,Review required,Acceptable,Acceptable,Low,1156.841725562722
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,bright_140_percent,Pear,,1,0,0.0,0,,0,0,0,Acceptable,Acceptable,Acceptable,Acceptable,8925.73129031509
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,gaussian_blur_9,Pear,Orange; Orange,1,0,0.0,1,Orange,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,3806.162836684531
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,salt_pepper_1_percent,Pear,Orange; Orange,1,0,0.0,1,Orange,2,0,1,Acceptable,Acceptable,Acceptable,Acceptable,5587.332798925745
06_02_pear_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\02_pear_single.jpg,rotate_15_degrees,Pear,,1,0,0.0,0,,0,0,0,Acceptable,Acceptable,Acceptable,Acceptable,6707.890466169971
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,original,Peach,Apple,1,0,0.0,1,Apple,1,0,0,Review required,Acceptable,Overexposed,Acceptable,565.1886025272356
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,dark_45_percent,Peach,Apple,1,0,0.0,1,Apple,1,0,0,Review required,Acceptable,Acceptable,Low,117.97463221777683
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,bright_140_percent,Peach,Orange,1,0,0.0,1,Orange,1,0,0,Review required,Acceptable,Overexposed,Low,180.1954044117647
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,gaussian_blur_9,Peach,Apple,1,0,0.0,1,Apple,1,0,0,Review required,Acceptable,Overexposed,Acceptable,419.7937495860591
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,salt_pepper_1_percent,Peach,Apple,1,0,0.0,1,Apple,1,0,0,Review required,Acceptable,Overexposed,Acceptable,565.1194681873783
07_03_peach_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\03_peach_single.jpg,rotate_15_degrees,Peach,Orange,1,0,0.0,1,Orange,1,0,0,Review required,Acceptable,Overexposed,Acceptable,7775.868341262975
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,original,Grape,Grape,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,1932.5167811328984
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,dark_45_percent,Grape,Grape,1,1,1.0,0,,1,0,0,Review required,Acceptable,Underexposed,Acceptable,396.2309118082494
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,bright_140_percent,Grape,Grape,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,3556.8629994539565
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,gaussian_blur_9,Grape,Grape,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,1461.184853091652
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,salt_pepper_1_percent,Grape,Grape,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,1917.9002419813178
08_04_grape_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\04_grape_single.jpg,rotate_15_degrees,Grape,Grape,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2475.115884239291
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,original,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2153.3657754385717
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,dark_45_percent,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Review required,Acceptable,Underexposed,Acceptable,445.0640399370796
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,bright_140_percent,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2704.0652102934387
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,gaussian_blur_9,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,1732.1686857317623
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,salt_pepper_1_percent,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2126.684621220399
09_06_pineapple_single,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\06_pineapple_single.jpg,rotate_15_degrees,Pineapple,Pineapple,1,1,1.0,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2584.6661458914364
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,original,Apple; Banana; Grape; Orange; Pear,Banana; Orange,5,2,0.4,0,,2,0,0,Acceptable,Acceptable,Acceptable,Acceptable,552.1653110169701
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,dark_45_percent,Apple; Banana; Grape; Orange; Pear,Banana,5,1,0.2,0,,1,0,0,Acceptable,Acceptable,Acceptable,Acceptable,118.65503965773517
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,bright_140_percent,Apple; Banana; Grape; Orange; Pear,Orange,5,1,0.2,0,,1,0,0,Review required,Acceptable,Overexposed,Acceptable,800.6209438575639
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,gaussian_blur_9,Apple; Banana; Grape; Orange; Pear,Banana; Orange,5,2,0.4,0,,2,0,0,Acceptable,Acceptable,Acceptable,Acceptable,456.50870525795546
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,salt_pepper_1_percent,Apple; Banana; Grape; Orange; Pear,Banana; Orange,5,2,0.4,0,,2,0,0,Acceptable,Acceptable,Acceptable,Acceptable,532.8701235846513
10_08_mixed_natural_light,new_internet,C:\Users\Kai\Documents\Image Processing\assgm\image\strict_regression_results\external_inputs\08_mixed_natural_light.jpg,rotate_15_degrees,Apple; Banana; Grape; Orange; Pear,Banana; Orange,5,2,0.4,0,,2,0,0,Acceptable,Acceptable,Acceptable,Acceptable,2396.446543269687
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,original,Mango,Apple; Apple; Apple,1,0,0.0,1,Apple,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,872.3097977966754
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,dark_45_percent,Mango,Apple; Grape; Apple,1,0,0.0,2,Apple; Grape,3,0,1,Review required,Acceptable,Acceptable,Low,184.37585525275838
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,bright_140_percent,Mango,Apple; Apple; Apple,1,0,0.0,1,Apple,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,1599.001753948863
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,gaussian_blur_9,Mango,Apple; Apple; Apple,1,0,0.0,1,Apple,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,621.2751259941023
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,salt_pepper_1_percent,Mango,Apple; Apple; Grape,1,0,0.0,2,Apple; Grape,3,0,1,Acceptable,Acceptable,Acceptable,Acceptable,869.0545421737503
11_img_5874-1,user_supplied,C:\Users\Kai\Documents\Image Processing\assgm\image\img_5874-1.png,rotate_15_degrees,Mango,Apple; Apple; Apple,1,0,0.0,1,Apple,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,1183.4647958776013
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,original,Pineapple,Pineapple; Pineapple; Pineapple; Pineapple,1,1,1.0,0,,4,0,3,Acceptable,Acceptable,Acceptable,Acceptable,5517.66356421634
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,dark_45_percent,Pineapple,Pineapple; Pineapple; Pineapple,1,1,1.0,0,,3,0,2,Review required,Acceptable,Underexposed,Acceptable,1125.1624611939055
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,bright_140_percent,Pineapple,Pineapple; Pineapple; Pineapple; Pineapple,1,1,1.0,0,,4,0,3,Acceptable,Acceptable,Acceptable,Acceptable,8617.28548687223
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,gaussian_blur_9,Pineapple,Pineapple; Pineapple; Pineapple; Pineapple; Pineapple,1,1,1.0,0,,5,0,4,Acceptable,Acceptable,Acceptable,Acceptable,4434.5227256673925
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,salt_pepper_1_percent,Pineapple,Pineapple; Pineapple; Pineapple; Pineapple,1,1,1.0,0,,4,0,3,Acceptable,Acceptable,Acceptable,Acceptable,5411.46012638429
12_WhatsApp Image 2026-08-28 at 8.27.10 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.10 PM.jpeg,rotate_15_degrees,Pineapple,Pineapple; Pineapple; Pineapple,1,1,1.0,0,,3,0,2,Acceptable,Acceptable,Acceptable,Acceptable,5890.083571913353
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,original,Apple; Banana; Mango; Orange; Pineapple,Banana; Apple; Apple; Orange; Pineapple,5,4,0.8,0,,5,0,1,Review required,Acceptable,Overexposed,Acceptable,6193.107030000538
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,dark_45_percent,Apple; Banana; Mango; Orange; Pineapple,Apple; Banana; Apple; Pineapple; Orange,5,4,0.8,0,,5,0,1,Review required,Acceptable,Acceptable,Low,1251.198971029371
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,bright_140_percent,Apple; Banana; Mango; Orange; Pineapple,Banana; Apple; Pineapple; Apple,5,3,0.6,0,,4,0,1,Review required,Acceptable,Overexposed,Acceptable,4074.1221837997437
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,gaussian_blur_9,Apple; Banana; Mango; Orange; Pineapple,Banana; Apple; Pineapple; Apple,5,3,0.6,0,,4,0,1,Review required,Acceptable,Overexposed,Acceptable,2027.3746216855943
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,salt_pepper_1_percent,Apple; Banana; Mango; Orange; Pineapple,Banana; Apple; Apple; Orange; Pineapple,5,4,0.8,0,,5,0,1,Review required,Acceptable,Overexposed,Acceptable,6099.256687581539
13_WhatsApp Image 2026-08-28 at 8.27.26 PM,user_supplied,C:\Users\Kai\Downloads\WhatsApp Image 2026-08-28 at 8.27.26 PM.jpeg,rotate_15_degrees,Apple; Banana; Mango; Orange; Pineapple,Banana; Apple; Pineapple; Apple,5,3,0.6,0,,4,0,1,Review required,Acceptable,Overexposed,Acceptable,10115.89994924888
